               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.047022,            0.012395,                   0,             0.99232,                   1,               0.995,              0.4161,            0.047837,            0.011825,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.044326,            0.014005,                   0,             0.99522,                   1,               0.995,             0.59944,            0.042012,            0.011393,                   0,            0.008614,            0.008614,            0.008614
                 142,            0.041722,            0.013628,                   0,             0.99761,                   1,               0.995,             0.59615,            0.041924,            0.011608,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.040268,            0.011971,                   0,             0.99482,                   1,               0.995,             0.44853,            0.045631,            0.011888,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.050502,            0.013288,                   0,             0.99482,                   1,               0.995,             0.44853,            0.045631,            0.011888,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,            0.046306,            0.014021,                   0,                   1,             0.99721,               0.995,             0.52301,             0.04272,            0.011836,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,            0.044561,            0.014407,                   0,             0.99751,                   1,               0.995,             0.48172,            0.043745,            0.012175,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,            0.042649,            0.015077,                   0,             0.99771,                   1,               0.995,             0.56224,            0.037793,            0.011877,                   0,           0.0085546,           0.0085546,           0.0085546
                 148,            0.043271,            0.013009,                   0,             0.99771,                   1,               0.995,             0.56224,            0.037793,            0.011877,                   0,           0.0085447,           0.0085447,           0.0085447
                 149,            0.040106,            0.013555,                   0,             0.97541,                   1,             0.99411,             0.62773,            0.037487,            0.011803,                   0,           0.0085348,           0.0085348,           0.0085348
                 150,            0.042797,            0.013216,                   0,             0.99753,                   1,               0.995,             0.48561,            0.041362,            0.011875,                   0,           0.0085249,           0.0085249,           0.0085249
                 151,             0.03529,            0.012655,                   0,             0.99759,                   1,               0.995,             0.45727,            0.047236,            0.011429,                   0,            0.008515,            0.008515,            0.008515
                 152,            0.051385,            0.012781,                   0,             0.99759,                   1,               0.995,             0.45727,            0.047236,            0.011429,                   0,           0.0085051,           0.0085051,           0.0085051
                 153,            0.045265,            0.012338,                   0,             0.99758,                   1,               0.995,              0.4844,            0.045074,            0.011267,                   0,           0.0084952,           0.0084952,           0.0084952
                 154,            0.041973,            0.012703,                   0,             0.99789,                   1,               0.995,             0.58098,            0.039106,            0.011219,                   0,           0.0084853,           0.0084853,           0.0084853
                 155,            0.041088,            0.014402,                   0,             0.99019,                   1,               0.995,             0.61548,            0.038637,            0.011276,                   0,           0.0084754,           0.0084754,           0.0084754
                 156,            0.041302,            0.013704,                   0,             0.99019,                   1,               0.995,             0.61548,            0.038637,            0.011276,                   0,           0.0084655,           0.0084655,           0.0084655
                 157,            0.038796,            0.012387,                   0,             0.99748,                   1,               0.995,             0.67596,            0.036622,            0.011155,                   0,           0.0084556,           0.0084556,           0.0084556
                 158,            0.037576,            0.012901,                   0,              0.9978,                   1,               0.995,              0.6396,            0.037856,            0.011106,                   0,           0.0084457,           0.0084457,           0.0084457
                 159,            0.038428,            0.014458,                   0,             0.99743,                   1,               0.995,             0.67826,            0.037905,            0.011126,                   0,           0.0084358,           0.0084358,           0.0084358
                 160,            0.043148,            0.012448,                   0,             0.99743,                   1,               0.995,             0.67826,            0.037905,            0.011126,                   0,           0.0084259,           0.0084259,           0.0084259
                 161,            0.040236,            0.013833,                   0,             0.99786,                   1,               0.995,             0.68914,            0.036132,             0.01123,                   0,            0.008416,            0.008416,            0.008416
                 162,             0.03699,            0.012741,                   0,             0.99817,                   1,               0.995,             0.67348,            0.035072,            0.011127,                   0,           0.0084061,           0.0084061,           0.0084061
                 163,            0.035312,            0.013316,                   0,             0.76496,             0.96169,             0.90939,             0.44302,            0.044175,            0.011625,                   0,           0.0083962,           0.0083962,           0.0083962
                 164,            0.044016,            0.012275,                   0,             0.76496,             0.96169,             0.90939,             0.44302,            0.044175,            0.011625,                   0,           0.0083863,           0.0083863,           0.0083863
                 165,            0.039688,            0.013163,                   0,             0.99741,                   1,               0.995,             0.59594,            0.039498,            0.011392,                   0,           0.0083764,           0.0083764,           0.0083764
                 166,            0.039143,            0.013056,                   0,             0.99839,                   1,               0.995,             0.65965,            0.038392,            0.011172,                   0,           0.0083665,           0.0083665,           0.0083665
                 167,            0.036996,            0.013593,                   0,             0.99394,                   1,               0.995,              0.5388,            0.042693,            0.011814,                   0,           0.0083566,           0.0083566,           0.0083566
